"","dd_KSCOAR_dam.df","dd_KSCOAR_dam.logLik","dd_KSCOAR_dam.AICc","dd_KSCOAR_dam.delta","dd_KSCOAR_dam.weight"
"269",8,352.04283713698,-687.456853313262,459.837217221796,8.7557213499867e-102
"270",5,348.844440486415,-687.430260283174,459.863810251883,8.64007134423851e-102
"271",9,353.055147501649,-687.320821319087,459.973249215971,8.17999351783033e-102
"272",7,350.681831955305,-686.87670738887,460.417363146187,6.55110929330825e-102
"273",9,352.814930004208,-686.840386324205,460.453684210852,6.43321144527161e-102
"274",9,352.780704653531,-686.771935622852,460.522134912205,6.21675775787531e-102
"275",9,352.677792337485,-686.566110990759,460.727959544299,5.60879664088202e-102
"276",9,352.390853534409,-685.992233384608,461.30183715045,4.20972527800104e-102
"277",7,350.232380165202,-685.977803808665,461.316266726392,4.17946230444565e-102
"278",6,349.098075091304,-685.832513818972,461.461556716086,3.88661114937783e-102
"279",7,350.02585632452,-685.5647561273,461.729314407757,3.39960334737552e-102
"280",7,349.965326935684,-685.443697349628,461.850373185429,3.19993140437748e-102
"281",7,349.962865775665,-685.43877502959,461.855295505467,3.19206554468101e-102
"282",6,348.891838043125,-685.420039722613,461.874030812444,3.16230300098995e-102
"283",8,351.012787291419,-685.39675362214,461.897316912918,3.12569766071301e-102
"284",6,348.855708125244,-685.347779886852,461.946290648206,3.05008860816721e-102
"285",10,353.1030244488,-685.236885902005,462.057184633052,2.88557344978865e-102
"286",7,349.640802241941,-684.794647962144,462.499422572914,2.3131371567605e-102
"287",6,348.511088292364,-684.658540221092,462.635530313966,2.16095620054117e-102
"288",6,348.435115348171,-684.506594332706,462.787476202351,2.00286341668013e-102
"289",7,349.292552306353,-684.098148090967,463.195922444091,1.6328953772452e-102
"290",7,349.285179849295,-684.08340317685,463.210667358207,1.62090119382389e-102
"291",8,350.338012817656,-684.047204674613,463.246865860444,1.59182799132748e-102
"292",6,348.20207514607,-684.040513928504,463.253556606554,1.58651163042086e-102
"293",8,350.313511970864,-683.99820298103,463.295867554028,1.55330075977009e-102
"294",7,349.241333908146,-683.995711294552,463.298359240505,1.55136679547904e-102
"295",8,350.305084450742,-683.981347940785,463.312722594272,1.540265291847e-102
"296",7,349.180496717634,-683.874036913528,463.420033621529,1.45979958448007e-102
"297",8,350.179191585921,-683.729562211144,463.564508323913,1.35806623815398e-102
"298",8,350.136638103743,-683.644455246788,463.649615288269,1.30148812591161e-102
"299",5,346.925492005515,-683.592363321374,463.701707213683,1.26802726647964e-102
"300",6,347.941275005752,-683.518913647868,463.77515688719,1.22230390251985e-102
"301",8,350.027329405932,-683.425837851165,463.868232683892,1.16672376984665e-102
"302",7,348.92093352684,-683.35491053194,463.939160003117,1.12607255601508e-102
"303",7,348.833281813062,-683.179607104384,464.114463430673,1.03157241104887e-102
"304",7,348.668535006013,-682.850113490287,464.44395704477,8.74885239374377e-103
"305",5,346.461343702035,-682.664066714415,464.630003820643,7.97171099218153e-103
"306",8,349.535920734284,-682.443020507868,464.851050027189,7.13759614688248e-103
"307",5,346.336463120498,-682.414305551341,464.879764983716,7.03585041917791e-103
"308",6,347.368314946159,-682.372993528683,464.921077006375,6.89200852747191e-103
"309",7,348.425988891035,-682.365021260331,464.929049274726,6.8645907385377e-103
"310",9,350.541561828437,-682.293649972663,465.000420562394,6.62394277466586e-103
"311",6,347.273358543171,-682.183080722706,465.110989812351,6.26767926513802e-103
"312",6,347.122932665535,-681.882228967435,465.411841567623,5.39234456914264e-103
"313",6,347.119976862106,-681.876317360576,465.417753174481,5.3764293912298e-103
"314",7,348.140139510972,-681.793322500205,465.500748034852,5.15788721778314e-103
"315",6,347.022581702338,-681.68152704104,465.612543494018,4.87748301963961e-103
"316",6,346.940726639615,-681.517816915593,465.776253619465,4.49413965617259e-103
"317",6,346.916524863128,-681.46941336262,465.824657172438,4.3866791059746e-103
"318",7,347.789410712592,-681.091864903444,466.202205631614,3.63205369082411e-103
"319",6,346.635209887248,-680.906783410859,466.387287124199,3.31102396672049e-103
"320",6,346.579232720956,-680.794829078276,466.499241456782,3.13077422677507e-103
"321",5,345.514745665664,-680.770870641674,466.523199893384,3.0934937402212e-103
"322",7,347.577340290839,-680.667724059938,466.626346475119,2.9379963094079e-103
"323",7,347.534175988438,-680.581395455136,466.712675079921,2.81387776390118e-103
"324",6,346.379943425814,-680.396250487992,466.897820047066,2.56508351005607e-103
"325",5,345.279819339234,-680.301017988813,466.993052546245,2.44580615916047e-103
"326",7,347.370317221017,-680.253677920294,467.040392614763,2.38859362607414e-103
"327",4,344.118558064087,-680.065442308431,467.228628226627,2.17403947398075e-103
"328",7,347.25784258062,-680.028728639501,467.265341895557,2.13449505684139e-103
"329",5,345.128943513186,-679.999266336716,467.294804198341,2.10328195393772e-103
"330",7,347.223847303931,-679.960738086123,467.333332448934,2.06315184361756e-103
"331",4,344.037192223314,-679.902710626885,467.391359908173,2.00415215314988e-103
"332",7,347.150440188297,-679.813923854855,467.480146680202,1.91712701501909e-103
"333",7,347.025077911766,-679.563199301792,467.730871233265,1.69124584294138e-103
"334",5,344.715582889295,-679.172545088935,468.121525446122,1.39116056286772e-103
"335",6,345.73012587654,-679.096615389443,468.197455145614,1.33933535388087e-103
"336",8,347.749418973379,-678.870016986059,468.424053548998,1.19587039545623e-103
"337",8,347.659252062249,-678.689683163799,468.604387371258,1.09276083878104e-103
"338",6,345.459287336628,-678.554938309619,468.739132225439,1.02156416361248e-103
"339",8,347.577347621874,-678.525874283048,468.768196252009,1.00682612566017e-103
"340",5,344.257010663356,-678.255400637056,469.038669898001,8.79471702504355e-104
"341",8,347.40670259091,-678.184584221122,469.109486313935,8.48876050681304e-104
"342",5,344.15949167913,-678.060362668605,469.233707866453,7.97755695755693e-104
"343",5,344.151185609045,-678.043750528434,469.250320006623,7.91156923904486e-104
"344",6,345.181027199662,-677.998418035687,469.29565249937,7.73426071193632e-104
"345",5,344.057840302849,-677.857059916044,469.437010619014,7.20648159533286e-104
"346",8,347.223864151931,-677.818907343163,469.475163191894,7.07031162624458e-104
"347",6,344.9716917442,-677.579747124765,469.714323410293,6.2734374810097e-104
"348",5,343.864825810934,-677.471030932213,469.823039602844,5.9415280675719e-104
"349",6,344.842578287637,-677.321520211638,469.97255032342,5.51356263492871e-104
"350",7,345.882924937185,-677.278893352632,470.015177182426,5.39729315841387e-104
"351",6,344.72541475767,-677.087193151704,470.206877383353,4.90398166807782e-104
"352",6,344.71719073513,-677.070745106623,470.223325428435,4.86381659789979e-104
"353",9,347.844252857939,-676.899032031667,470.395038503391,4.46365037255368e-104
"354",5,343.496105347915,-676.733590006176,470.560480528882,4.1092720157814e-104
"355",7,345.588464145679,-676.689971769619,470.604098765439,4.02062261273072e-104
"356",6,344.432765792206,-676.501895220775,470.792175314283,3.65976337983564e-104
"357",6,344.391018645582,-676.418400927528,470.87566960753,3.51012394346075e-104
"358",7,345.429827137329,-676.372697752918,470.921372782139,3.4308215830343e-104
"359",6,344.333783585849,-676.303930808062,470.990139726995,3.3148629773433e-104
"360",6,344.305645099733,-676.247653835829,471.046416699229,3.22288784058123e-104
"361",5,343.233729602421,-676.208838515187,471.085232019871,3.16094218260739e-104
"362",7,345.259284014975,-676.03161150821,471.262459026847,2.89289184064694e-104
"363",7,345.157869021877,-675.828781522014,471.465289013043,2.61389552161339e-104
"364",5,343.037403762384,-675.816186835113,471.477883699945,2.59748664416418e-104
"365",4,341.987962729252,-675.804251638761,471.489818896296,2.58203204688302e-104
"366",4,341.944975342497,-675.718276865251,471.575793669807,2.47338910449267e-104
"367",6,343.997411784542,-675.631187205448,471.66288332961,2.36799708811898e-104
"368",6,343.944501371229,-675.525366378822,471.768704156235,2.24596230729909e-104
"369",7,345.003364105163,-675.519771688588,471.77429884647,2.23968835490126e-104
"370",7,344.913804889767,-675.340653257794,471.953417277263,2.04782348298659e-104
"371",7,344.847112723325,-675.20726892491,472.086801610147,1.9157043217935e-104
"372",6,343.771116863261,-675.178597362885,472.115473172173,1.88843711945425e-104
"373",5,342.585885423239,-674.913150156822,472.380920378235,1.65371779614845e-104
"374",4,341.439364994418,-674.707056169094,472.587014365964,1.4917933236515e-104
"375",5,342.411405117551,-674.564189545447,472.729880989611,1.38894665449157e-104
"376",5,342.394748457256,-674.530876224857,472.763194310201,1.36600305423939e-104
"377",8,345.441824672674,-674.25482838465,473.039242150408,1.18989501071657e-104
"378",6,343.267386788418,-674.1711372132,473.122933321857,1.14113056107501e-104
"379",5,342.209183704148,-674.159746718641,473.134323816416,1.13465001203277e-104
"380",5,342.161091012707,-674.063561335758,473.230509199299,1.08137302430644e-104
"381",6,343.154520420226,-673.945404476815,473.348666058243,1.01933772074339e-104
"382",3,339.91108295321,-673.719601803857,473.574468731201,9.10511988050213e-105
"383",4,340.905951145026,-673.64022847031,473.653842064748,8.75084452422768e-105
"384",6,342.932559046763,-673.501481729889,473.792588805168,8.16434777428481e-105
"385",6,342.889458493858,-673.41528062408,473.878789910977,7.81993536870789e-105
"386",6,342.863484684819,-673.363333006002,473.930737529055,7.61943698596792e-105
"387",6,342.671730123762,-672.979823883887,474.314246651171,6.28991727976565e-105
"388",4,340.535084726233,-672.898495632724,474.395574902333,6.03927392708861e-105
"389",5,341.550733989249,-672.842847288843,474.451223246214,5.87355235515312e-105
"390",7,343.400321572554,-672.313686623368,474.980383911689,4.50811582606556e-105
"391",7,343.13857679103,-671.790197060321,475.503873474737,3.46993030163238e-105
"392",7,343.028895965049,-671.570835408359,475.723235126699,3.10947431634899e-105
"393",7,343.01581578887,-671.544675056,475.749395479057,3.06906669001603e-105
"394",7,342.96619063757,-671.445424753402,475.848645781656,2.92048107467943e-105
"395",7,342.956394350329,-671.425832178919,475.868238356138,2.89201088196562e-105
"396",8,343.555375095661,-670.481929230623,476.812141304434,1.80398948502524e-105
"397",8,343.406061821992,-670.183302683285,477.110767851772,1.55377479091875e-105
"398",8,343.240269366803,-669.851717772906,477.442352762151,1.31639226746004e-105
"399",8,343.084548748487,-669.540276536274,477.753793998783,1.12656620055859e-105
