FID,Shape,site,meta,long,lat,GNIS_ID,GNIS_Name,LengthKm,FType,FTypeName,FCode,Descrip,Distance
156,Point,CHN5,NFNinnescah,-97.84568,37.73985, , ,1.163,460,STREAM/RIVER,46003,Intermittent,2.598697
157,Point,RATTLE4,Rattlesnake,-98.98591,37.83914,475886,Rattlesnake Creek,1.361,460,STREAM/RIVER,46006,Perennial,6.7847
158,Point,CIMDA2,Cimarron,-99.700731,37.052819,1091369,Cimarron River,2.754,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,7.701336
159,Point,QNWR3,Rattlesnake,-98.543289,38.158178, , ,1.164,460,STREAM/RIVER,46003,Intermittent,168.601122
160,Point,QNWR4,Rattlesnake,-98.55292,38.16189, , ,1.164,460,STREAM/RIVER,46003,Intermittent,902.954048
161,Point,WSU1,SFNinnescah,-97.94712,37.67714,473967,Smoots Creek,1.292,460,STREAM/RIVER,46006,Perennial,0.563501
162,Point,NFN1,NFNinnescah,-98.62206,37.85324,473800,North Fork Ninnescah River,2.875,460,STREAM/RIVER,46006,Perennial,0.20385
163,Point,NFN2,NFNinnescah,-97.78951,37.70328,473800,North Fork Ninnescah River,0.508,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,2.923192
164,Point,MLRHA,Medicine,-98.925473,37.370407,1095291,Medicine Lodge River,0.549,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,1.356753
165,Point,NESS3,Walnut,-100.18167,38.53469,471468,Middle Fork Walnut Creek,2.829,460,STREAM/RIVER,46006,Perennial,4.767581
166,Point,NELM1,Medicine,-98.71767,37.45623,470366,North Elm Creek,1.461,460,STREAM/RIVER,46006,Perennial,0.060594
167,Point,SFNR6,SFNinnescah,-98.55657,37.6584,485476,South Fork Ninnescah River,0.883158,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,1.234306
168,Point,ENESC,SaltFork,-99.19666,37.223386,470789,East Branch Nescatunga Creek,3.563,460,STREAM/RIVER,46006,Perennial,0.608512
169,Point,CRCRK1,Cimarron,-100.21098,37.03291,470687,Crooked Creek,5.006,460,STREAM/RIVER,46006,Perennial,0.967289
170,Point,SANDSG,SFNinnescah,-97.77098,37.50294,474301,Sand Creek,0.936,460,STREAM/RIVER,46006,Perennial,2.209044
171,Point,BLUFFTW,Cimarron,-99.477247,37.02709,470823,Bluff Creek,1.288,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,2.957812
172,Point,ARK15,LowerArk,-97.28796,37.56599,78956,Arkansas River,2.732,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,72.25882
173,Point,CHIK8,Chikaskia,-98.18209,37.4714,470408,Wild Horse Creek,0.877,460,STREAM/RIVER,46006,Perennial,0.804705
174,Point,CAL160,Cimarron,-99.459615,37.192492,470824,Cavalry Creek,3.539,460,STREAM/RIVER,46006,Perennial,1.203766
