ind,site,meta
1610,CIM2,Cimarron River
1611,CIM2,Cimarron River
1612,CIM3,Cimarron River
1613,CIM3,Cimarron River
1614,CIM3,Cimarron River
1615,CIM3,Cimarron River
1616,CIM3,Cimarron River
1617,CIM3,Cimarron River
1618,CIM3,Cimarron River
1619,CIM3,Cimarron River
1620,CIM3,Cimarron River
1626,CIM4,Cimarron River
1627,CIM4,Cimarron River
1628,CIM4,Cimarron River
1630,CIM4,Cimarron River
1631,CIM4,Cimarron River
1633,CIM4,Cimarron River
1634,CIM4,Cimarron River
1635,CIM4,Cimarron River
1636,CIM4,Cimarron River
1637,CIM4,Cimarron River
1639,CIM4,Cimarron River
1640,CIM4,Cimarron River
1641,CIM4,Cimarron River
1642,CIM4,Cimarron River
1643,CIM4,Cimarron River
1644,CIM4,Cimarron River
1645,CIM4,Cimarron River
1646,CIM5,Cimarron River
1647,CIM5,Cimarron River
1648,CIM5,Cimarron River
1649,CIM5,Cimarron River
1650,CIM5,Cimarron River
1651,CIM5,Cimarron River
1652,CIM5,Cimarron River
1654,CIM6,Cimarron River
1655,CIM6,Cimarron River
1656,CIM6,Cimarron River
1657,CIM6,Cimarron River
1658,CIM6,Cimarron River
1659,CIM6,Cimarron River
1660,CIM6,Cimarron River
1661,CIM6,Cimarron River
1662,CIM6,Cimarron River
1670,CIM7,Cimarron River
1671,CIM7,Cimarron River
1674,CIM7,Cimarron River
1675,CIM7,Cimarron River
1676,CIM7,Cimarron River
1678,CIM7,Cimarron River
1679,CIM7,Cimarron River
1683,CIM7,Cimarron River
1684,CIM7,Cimarron River
1685,CIM7,Cimarron River
1686,CIM7,Cimarron River
1687,CIM7,Cimarron River
1688,CIM7,Cimarron River
1689,CIM7,Cimarron River
1691,CIMAB,Cimarron River
1692,CIMAB,Cimarron River
1693,CIMAB,Cimarron River
1694,CIMAB,Cimarron River
1696,CIMABRW1,Cimarron River
1697,CIMABRW1,Cimarron River
1698,CIMABRW1,Cimarron River
1699,CIMABRW1,Cimarron River
1701,CIMAD,Cimarron River
1702,CIMAD,Cimarron River
1703,CIMAD,Cimarron River
1704,CIMAD,Cimarron River
1705,CIMAD,Cimarron River
1706,CIMBB,Cimarron River
1707,CIMBB,Cimarron River
1708,CIMBB2,Cimarron River
1709,CIMBB2,Cimarron River
1710,CIMBB2,Cimarron River
1711,CIMBB2,Cimarron River
1712,CIMBB2,Cimarron River
1714,CIMDA2,Cimarron River
1715,CIMDA2,Cimarron River
1716,CIMDA2,Cimarron River
1717,CIMDA2,Cimarron River
1718,CIMDA2,Cimarron River
1719,CIMMG,Cimarron River
1720,CIMMG,Cimarron River
1721,CIMMG,Cimarron River
1722,CIMMG,Cimarron River
1723,CIMMG,Cimarron River
1724,CIMMG2,Cimarron River
1725,CIMMG2,Cimarron River
1726,CIMMG2,Cimarron River
1727,CIMMG2,Cimarron River
1728,CIMMG2,Cimarron River
1730,CIMTW2,Cimarron River
1731,CIMTW2,Cimarron River
1732,CIMTW2,Cimarron River
1733,CIMTW2,Cimarron River
1734,CIMTW2,Cimarron River
1735,CIMTW3,Cimarron River
1736,CIMTW3,Cimarron River
1737,CIMTW3,Cimarron River
1738,CIMTW3,Cimarron River
1739,CIMTW3,Cimarron River
1740,CLRH2O2,South Fork Ninnescah River
1741,CLRH2O2,South Fork Ninnescah River
1743,CNCSC,Lower Arkansas River
1744,CNCSC,Lower Arkansas River
1745,CNCSC,Lower Arkansas River
1746,CNCSC,Lower Arkansas River
1748,CNCSC,Lower Arkansas River
1749,CNCSC,Lower Arkansas River
1751,CNCSC,Lower Arkansas River
1752,CNCSC,Lower Arkansas River
1763,COON,South Fork Ninnescah River
1764,COON,South Fork Ninnescah River
1765,COON,South Fork Ninnescah River
1766,COON,South Fork Ninnescah River
1767,COW1,Lower Arkansas River
1768,COW1,Lower Arkansas River
1769,COW1,Lower Arkansas River
1770,COW1,Lower Arkansas River
1772,COW1,Lower Arkansas River
1774,COW1,Lower Arkansas River
